# RUN INFO: year,month,day,hour,min,sec,nSamples,startGate,nGates
# 2020,12,30,06,39,04,10000,100,300
# OPS INFO: siteName,radarName,alt,lat,lon,startRange,gateSpacing,scanMode,xmitRcvMode,prfMode,xmitPhaseMode,wavelenCm,beamWidthH,beamWidthV
# ,HCR,1602.23,40.038,-105.241,-198,19.1867,12,8,1,1,0.317556,0.75,0.72
# DUAL CHANNEL MODE:
#   Start gate: 100
#   N gates: 300
#   N samples: 10000
#                  time           prf      el      az       Hc    Hcorr     Harg       Vc    Vcorr     Varg     IFD0     IFD1   Lag1Hc   Lag1Vc    HLnaTemp    VLnaTemp
2020/11/19_20:58:48.147418022  9864.3   88.39  295.97  -55.554    0.143  179.814  -49.096    0.143  179.814  -55.554  -49.096  -68.736  -69.660     22.6108     20.4402
2020/11/19_20:58:49.161178112  9864.3   88.39  295.97  -55.560    0.143  179.417  -49.087    0.143  179.417  -55.560  -49.087  -68.743  -69.660     22.5567     20.5287
2020/11/19_20:58:50.174937963  9864.3   88.39  295.97  -55.557    0.145  179.882  -49.085    0.145  179.882  -55.557  -49.085  -68.562  -69.596     22.7525     20.7736
2020/11/19_20:58:51.188698053  9864.3   88.39  295.92  -55.553    0.144  179.447  -49.084    0.144  179.447  -55.553  -49.084  -68.730  -69.598     22.7619     20.8439
2020/11/19_20:58:52.202457905  9864.3   88.40  295.98  -55.558    0.143  179.886  -49.091    0.143  179.886  -55.558  -49.091  -68.787  -69.522     22.3215      20.608
2020/11/19_20:58:53.216217995  9864.3   88.40  295.94  -55.555    0.143  179.160  -49.086    0.143  179.160  -55.555  -49.086  -68.699  -69.554     22.2922     20.5759
2020/11/19_20:58:54.229978085  9864.3   88.40  295.93  -55.556    0.143  179.246  -49.089    0.143  179.246  -55.556  -49.089  -68.685  -69.379     22.2267     20.5389
2020/11/19_20:58:55.243737936  9864.3   88.40  295.95  -55.555    0.143 -179.911  -49.088    0.143 -179.911  -55.555  -49.088  -68.680  -69.566     22.2332     20.5293
2020/11/19_20:58:56.257498026  9864.3   88.40  295.96  -55.555    0.143 -179.810  -49.092    0.143 -179.810  -55.555  -49.092  -68.810  -69.546     22.3949      20.507
2020/11/19_20:58:57.271258116  9864.3   88.40  295.97  -55.558    0.143 -179.828  -49.088    0.143 -179.828  -55.558  -49.088  -68.753  -69.614     22.5923     20.5391
2020/11/19_20:58:58.285017967  9864.3   88.40  295.96  -55.550    0.143 -179.813  -49.090    0.143 -179.813  -55.550  -49.090  -68.690  -69.154     22.6007     20.6059
2020/11/19_20:58:59.298778057  9864.3   88.40  295.96  -55.557    0.144  179.833  -49.086    0.144  179.833  -55.557  -49.086  -68.735  -69.510     22.4523     20.5847
2020/11/19_20:59:00.312537909  9864.3   88.40  296.00  -55.553    0.143  179.607  -49.086    0.143  179.607  -55.553  -49.086  -68.777  -69.767     22.3414      20.511
2020/11/19_20:59:01.326297998  9864.3   88.40  295.97  -55.554    0.143 -179.887  -49.085    0.143 -179.887  -55.554  -49.085  -68.628  -69.738     22.3697     20.4018
2020/11/19_20:59:02.340058088  9864.3   88.40  295.96  -55.558    0.143  179.746  -49.083    0.143  179.746  -55.558  -49.083  -68.719  -69.680     22.2682      20.323
2020/11/19_20:59:03.353817940  9864.3   88.40  295.96  -55.554    0.145  179.556  -49.085    0.145  179.556  -55.554  -49.085  -68.611  -69.441     22.2017     20.2343
2020/11/19_20:59:04.367578030  9864.3   88.40  295.95  -55.554    0.144  179.734  -49.091    0.144  179.734  -55.554  -49.091  -68.712  -69.537     21.8553     19.9698
2020/11/19_20:59:05.381337881  9864.3   88.40  295.95  -55.553    0.143 -179.829  -49.085    0.143 -179.829  -55.553  -49.085  -68.748  -69.673     21.6165     20.2047
2020/11/19_20:59:06.395097971  9864.3   88.40  295.94  -55.556    0.144  179.949  -49.088    0.144  179.949  -55.556  -49.088  -68.715  -69.768     21.5427     20.4817
2020/11/19_20:59:07.408858061  9864.3   88.42  294.48  -55.566    0.143  179.632  -49.086    0.143  179.632  -55.566  -49.086  -68.807  -69.898     21.6425     20.6586
2020/11/19_20:59:08.422617912  9864.3   88.40  295.93  -55.564    0.142 -179.953  -49.095    0.142 -179.953  -55.564  -49.095  -68.714  -69.427     21.7017     20.5736
2020/11/19_20:59:09.436378002  9864.3   88.40  295.92  -55.562    0.144  179.976  -49.091    0.144  179.976  -55.562  -49.091  -68.683  -69.646      21.978     20.5683
2020/11/19_20:59:10.450138092  9864.3   88.40  295.92  -55.553    0.144  179.856  -49.089    0.144  179.856  -55.553  -49.089  -68.690  -69.660     22.1437     20.4123
2020/11/19_20:59:11.463897943  9864.3   88.40  295.91  -55.549    0.144  179.269  -49.091    0.144  179.269  -55.549  -49.091  -68.723  -69.823     22.2714     20.2471
2020/11/19_20:59:12.477658033  9864.3   88.40  295.91  -55.559    0.144  179.716  -49.092    0.144  179.716  -55.559  -49.092  -68.604  -69.596     22.0166      20.269
2020/11/19_20:59:13.491417885  9864.3   88.40  295.92  -55.558    0.143  179.722  -49.082    0.143  179.722  -55.558  -49.082  -68.684  -69.566     21.8417     20.1923
2020/11/19_20:59:14.505177975  9864.3   88.40  295.92  -55.565    0.144  179.876  -49.084    0.144  179.876  -55.565  -49.084  -68.706  -69.517     21.6937     20.2188
2020/11/19_20:59:15.518938065  9864.3   88.40  295.92  -55.567    0.142  179.911  -49.092    0.142  179.911  -55.567  -49.092  -68.636  -69.561     21.7352     20.3489
2020/11/19_20:59:16.532697916  9864.3   88.40  295.90  -55.568    0.144  179.713  -49.090    0.144  179.713  -55.568  -49.090  -68.607  -69.403     21.8141     20.4792
2020/11/19_20:59:17.546458006  9864.3   88.40  295.90  -55.566    0.143 -179.982  -49.086    0.143 -179.982  -55.566  -49.086  -68.728  -69.657     21.9342     20.4543
# end of file
#                  time           prf      el      az       Hc    Hcorr     Harg       Vc    Vcorr     Varg     IFD0     IFD1   Lag1Hc   Lag1Vc    HLnaTemp    VLnaTemp
2020/11/19_20:59:18.560218096  9864.3   88.40  295.89  -55.570    0.144  179.518  -49.092    0.144  179.518  -55.570  -49.092  -68.634  -69.603     22.0508     20.4506
2020/11/19_20:59:19.573977947  9864.3   88.40  295.88  -55.563    0.144 -179.917  -49.088    0.144 -179.917  -55.563  -49.088  -68.717  -69.560     22.1698     20.3605
2020/11/19_20:59:20.587738037  9864.3   88.40  295.98  -55.557    0.143  179.988  -49.091    0.143  179.988  -55.557  -49.091  -68.613  -69.456     21.8834      20.009
2020/11/19_20:59:21.601497889  9864.3   88.40  295.91  -55.566    0.143  179.505  -49.089    0.143  179.505  -55.566  -49.089  -68.677  -69.793     21.8303     19.7718
2020/11/19_20:59:22.615257978  9864.3   88.40  295.91  -55.563    0.144  179.873  -49.083    0.144  179.873  -55.563  -49.083  -68.691  -69.428     22.0441     19.9959
2020/11/19_20:59:23.629018068  9864.3   88.40  295.91  -55.572    0.143  179.796  -49.084    0.143  179.796  -55.572  -49.084  -68.692  -69.739     22.2858     20.2144
2020/11/19_20:59:24.642777920  9864.3   88.40  295.89  -55.575    0.144  179.747  -49.082    0.144  179.747  -55.575  -49.082  -68.705  -69.505     22.5283     20.3984
2020/11/19_20:59:25.656538010  9864.3   88.40  295.89  -55.567    0.144  179.811  -49.082    0.144  179.811  -55.567  -49.082  -68.620  -69.564     22.7208     20.6731
2020/11/19_20:59:26.670298100  9864.3   88.40  295.89  -55.574    0.143 -179.982  -49.086    0.143 -179.982  -55.574  -49.086  -68.728  -69.593     22.6505     20.7725
2020/11/19_20:59:27.684057951  9864.3   88.39  295.96  -55.566    0.143  179.351  -49.089    0.143  179.351  -55.566  -49.089  -68.665  -69.397      22.496     20.7449
2020/11/19_20:59:28.697818041  9864.3   88.39  295.91  -55.569    0.143  179.525  -49.089    0.143  179.525  -55.569  -49.089  -68.637  -69.676      22.227     20.3209
2020/11/19_20:59:29.711577892  9864.3   88.39  295.90  -55.571    0.143  179.553  -49.094    0.143  179.553  -55.571  -49.094  -68.758  -69.707     22.0855     20.3017
2020/11/19_20:59:30.725337982  9864.3   88.39  295.91  -55.576    0.142 -179.980  -49.087    0.142 -179.980  -55.576  -49.087  -68.672  -69.429     22.0695     20.2909
2020/11/19_20:59:31.739098072  9864.3   88.39  295.91  -55.567    0.143  179.659  -49.089    0.143  179.659  -55.567  -49.089  -68.764  -69.406     22.0699      20.159
2020/11/19_20:59:32.752857924  9864.3   88.39  295.92  -55.564    0.144  179.755  -49.087    0.144  179.755  -55.564  -49.087  -68.702  -69.574     21.9333     19.9755
