0.009  298.9  0.68 0.000
 0.115  297.9  0.67 0.000
 0.185  297.1  0.71 0.000
 0.373  295.4  0.77 0.000
 0.553  293.9  0.78 0.000
 0.644  293.4  0.72 0.000
 0.703  293.4  0.58 0.000
 1.654  286.9  0.75 0.000
 1.729  286.9  0.69 0.000
 1.891  287.8  0.47 0.000
 1.986  287.1  0.78 0.000
 2.179  285.7  0.82 0.000
 2.271  285.3  0.76 0.000
 2.433  286.6  0.31 0.000
 2.515  286.5  0.25 0.000
 2.604  286.8  0.11 0.000
 2.783  286.1  0.08 0.000
 3.588  282.3  0.10 0.000
 4.553  276.8  0.16 0.000
 5.868  267.2  0.33 0.000
 6.022  266.6  0.25 0.000
 6.288  265.0  0.25 0.000
 6.756  260.8  0.31 0.000
