file timest timend soundg wave
1 20180116_031908 20180116_032002 nan US058GOCN-GR1mdl.0110_0240_00300F0RL2018011600_0001_000000-000000
1 20180116_032007 20180116_032057 nan nan
2 20180116_033307 20180116_033342 nan US058GOCN-GR1mdl.0110_0240_00300F0RL2018011600_0001_000000-000000
2 20180116_033347 20180116_033449 nan nan
3 20180119_013700 20180119_013730 D20180119_013221_PQC.eol US058GOCN-GR1mdl.0110_0240_00300F0RL2018011900_0001_000000-000000
3 20180119_013750 20180119_013831 nan nan
4 20180122_214331 20180122_214427 D20180122_213753_PQC.eol US058GOCN-GR1mdl.0110_0240_00900F0RL2018012212_0001_000000-000000
4 20180122_214444 20180122_214539 nan nan
5 20180124_000810 20180124_000849 D20180124_000350_PQC.eol US058GOCN-GR1mdl.0110_0240_00000F0RL2018012400_0001_000000-000000
5 20180124_000906 20180124_000953 nan nan
6 20180125_231230 20180125_231311 D20180125_230610_PQC.eol US058GOCN-GR1mdl.0110_0240_00000F0RL2018012600_0001_000000-000000
7 20180125_235600 20180125_235632 D20180126_000636_PQC.eol US058GOCN-GR1mdl.0110_0240_00000F0RL2018012600_0001_000000-000000
7 20180125_235700 20180125_235732 nan nan
8 20180126_001415 20180126_001445 D20180126_000636_PQC.eol US058GOCN-GR1mdl.0110_0240_00000F0RL2018012600_0001_000000-000000
8 20180126_001515 20180126_001546 nan nan
9 20180128_234155 20180128_234237 D20180128_233730_PQC.eol US058GOCN-GR1mdl.0110_0240_00000F0RL2018012900_0001_000000-000000
9 20180128_234241 20180128_234336 nan nan
10 20180131_014207 20180131_014248 D20180131_013637_PQC.eol US058GOCN-GR1mdl.0110_0240_00300F0RL2018013100_0001_000000-000000
10 20180131_014256 20180131_014359 nan nan
11 20180131_022235 20180131_022311 D20180131_021738_PQC.eol US058GOCN-GR1mdl.0110_0240_00300F0RL2018013100_0001_000000-000000
11 20180131_022323 20180131_022403 nan nan
12 20180204_001202 20180204_001401 nan US058GOCN-GR1mdl.0110_0240_00000F0RL2018020400_0001_000000-000000
12 20180204_001456 20180204_001653 nan nan
13 20180204_232645 20180204_232733 nan US058GOCN-GR1mdl.0110_0240_00000F0RL2018020500_0001_000000-000000
13 20180204_232745 20180204_232826 nan nan
14 20180207_220139 20180207_220311 D20180207_220723_PQC.eol US058GOCN-GR1mdl.0110_0240_00900F0RL2018020712_0001_000000-000000
15 20180217_024524 20180217_024630 D20180217_024430_PQC.eol US058GOCN-GR1mdl.0110_0240_00300F0RL2018021700_0001_000000-000000
15 20180217_024652 20180217_024726 nan nan
16 20180218_004207 20180218_004300 D20180218_004020_PQC.eol US058GOCN-GR1mdl.0110_0240_00000F0RL2018021800_0001_000000-000000
16 20180218_004304 20180218_004414 nan nan
17 20180219_234756 20180219_234839 D20180219_235311_PQC.eol US058GOCN-GR1mdl.0110_0240_00000F0RL2018022000_0001_000000-000000
18 20180224_024701 20180224_024804 D20180224_024250_PQC.eol US058GOCN-GR1mdl.0110_0240_00300F0RL2018022400_0001_000000-000000
